,word,category,percent
317,itunesappst,Entertainment,1.0
318,freddys,Food and Beverages,0.99
319,restauran,Food and Beverages,0.97
320,dollartre,General Merchandise,0.99
321,kumgo,Automotive,0.99
322,dental,Healthcare/Medical,0.94
323,seamlesscom,Food and Beverages,0.99
324,frysfood,Groceries,0.99
325,noodles,Food and Beverages,1.0
326,outback,Food and Beverages,0.99
327,gcohelppayca,General Merchandise,0.97
328,philly,Food and Beverages,0.95
329,superamerica,Automotive,1.0
330,resta,Food and Beverages,0.97
331,poshmark,General Merchandise,0.99
332,airbnb,Travel,1.0
333,bestbuy,General Merchandise,1.0
334,cheesecake,Food and Beverages,1.0
335,charleys,Food and Beverages,0.97
336,chevroncsi,Automotive,1.0
337,afterpaycom,General Merchandise,1.0
338,uspscom,General Merchandise,1.0
339,suites,Travel,0.93
340,burrito,Food and Beverages,0.98
341,ckopatreon,Entertainment,0.98
342,taxi,Travel,0.97
343,spotifyusai,Entertainment,1.0
344,cinema,Entertainment,0.98
345,cabana,Food and Beverages,0.98
346,patreon,Entertainment,0.99
347,gril,Food and Beverages,0.98
348,steaknshake,Food and Beverages,1.0
349,nikecom,General Merchandise,1.0
350,namepetal,Healthcare/Medical,1.0
351,cafeteria,Food and Beverages,0.99
352,hibachi,Food and Beverages,0.99
353,coff,Food and Beverages,0.98
354,ppdutch,Food and Beverages,0.92
355,fedex,General Merchandise,1.0
356,ppitunescombill,Entertainment,1.0
357,staterbros,Groceries,0.92
358,fuels,Automotive,0.98
359,freight,General Merchandise,0.98
360,vacuum,Automotive,0.99
361,caf,Food and Beverages,0.95
362,etsy,General Merchandise,1.0
363,cleaners,General Merchandise,0.99
364,sunpassacc,Travel,1.0
365,hardware,General Merchandise,0.99
366,japan,Food and Beverages,0.94
367,dnhgodaddycom,General Merchandise,1.0
368,5guys,Food and Beverages,1.0
369,baskin,Food and Beverages,0.99
370,domino,Food and Beverages,1.0
371,uhaul,Travel,0.92
372,fandango,Entertainment,1.0
373,carpay,Automotive,0.99
374,qfc,Groceries,0.92
375,chef,Food and Beverages,0.93
376,honda,Automotive,0.95
377,movie,Entertainment,0.96
378,caribou,Food and Beverages,0.94
379,lobster,Food and Beverages,0.98
380,frysfooddrg,Groceries,0.99
381,aspire,Entertainment,0.96
382,pirate,Food and Beverages,0.91
383,dmv,Automotive,0.96
384,mercari,General Merchandise,0.92
385,grille,Food and Beverages,0.98
386,experian,General Merchandise,1.0
387,vendi,Food and Beverages,0.92
388,longhorn,Food and Beverages,0.97
389,reload,Food and Beverages,0.96
390,hotelscom,Travel,0.97
391,espresso,Food and Beverages,0.99
392,catering,Food and Beverages,1.0
393,teriyaki,Food and Beverages,0.98
394,niantic,General Merchandise,0.96
395,coffe,Food and Beverages,0.98
396,chili,Food and Beverages,0.97
397,ppdutchbrosll,Food and Beverages,0.91
398,tools,General Merchandise,0.97
399,coldstone,Food and Beverages,0.98
400,piz,Food and Beverages,0.99
401,cuisine,Food and Beverages,0.99
402,hulucombillca,Entertainment,1.0
403,mvm,Travel,0.96
404,sears,General Merchandise,0.96
405,pizz,Food and Beverages,0.99
406,descri2cbc,Healthcare/Medical,1.0
407,doordashtaco,Food and Beverages,1.0
408,lube,Automotive,0.96
409,vuducom,Entertainment,0.98
410,hungry,Food and Beverages,0.95
411,rutters,Automotive,0.98
412,chipotlecom,Food and Beverages,1.0
413,spot,Entertainment,0.9
414,java,Food and Beverages,0.97
415,arcoarco,Automotive,0.96
416,saloon,Food and Beverages,0.94
417,brea,Food and Beverages,0.91
418,beverages,Food and Beverages,1.0
419,clinic,Healthcare/Medical,0.91
420,carmax,Automotive,1.0
421,checkers,Food and Beverages,0.95
422,facebk,General Merchandise,0.94
423,wwwapplecom,General Merchandise,1.0
424,fedexoffice,General Merchandise,1.0
425,liquo,Food and Beverages,0.95
426,tgi,Food and Beverages,0.91
427,sephoracom,General Merchandise,1.0
428,krystal,Food and Beverages,0.98
429,imprl,Food and Beverages,0.98
430,microsoftultimate,General Merchandise,1.0
431,cinnabon,Food and Beverages,1.0
432,drivein,Food and Beverages,0.94
433,produce,Groceries,0.94
434,genesisfs,General Merchandise,0.93
435,fridays,Food and Beverages,0.96
436,burlngton,General Merchandise,0.97
437,tickets,Entertainment,0.93
